anio,mes,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,estacion-uri,same_as_wikidata_estaciones,afluencia-media
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Santa Marta,https://wikidata.org/entity/Q9074085,27889.366666666665
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Tepalcates,https://wikidata.org/entity/Q6824730,15219.6
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Bosque de Aragón,https://wikidata.org/entity/Q6824508,7714.733333333334
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Buenavista,https://wikidata.org/entity/Q3431142,48551.46666666667
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Ciudad Azteca,https://wikidata.org/entity/Q3431176,53262.6
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Deportivo Oceanía,https://wikidata.org/entity/Q6824555,18560.0
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Ecatepec,https://wikidata.org/entity/Q11681253,29027.9
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Garibaldi/Lagunilla,https://wikidata.org/entity/Q1147620,7959.2
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Guerrero,https://wikidata.org/entity/Q6824578,2774.8
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Impulsora,https://wikidata.org/entity/Q6824590,27803.3
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Lagunilla,https://wikidata.org/entity/Q6824610,25376.8
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Morelos,https://wikidata.org/entity/Q9035123,4759.666666666667
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Múzquiz,https://wikidata.org/entity/Q6824638,35390.333333333336
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Nezahualcóyotl,https://wikidata.org/entity/Q6824646,25500.6
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Oceanía,https://wikidata.org/entity/Q522857,10067.266666666666
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Olímpica,https://wikidata.org/entity/Q6824654,19941.166666666668
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Plaza Aragón,https://wikidata.org/entity/Q6824670,26929.033333333333
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Ricardo Flores Magón,https://wikidata.org/entity/Q601519,5689.5
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Río de los Remedios,https://wikidata.org/entity/Q6824695,22198.366666666665
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Romero Rubio,https://wikidata.org/entity/Q6824691,9697.866666666667
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,San Lázaro,https://wikidata.org/entity/Q3356984,16312.366666666667
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Tepito,https://wikidata.org/entity/Q5402969,21813.833333333332
2010,--04,Linea B,linea-B,Line B,https://wikidata.org/entity/Q3239062,Villa de Aragón,https://wikidata.org/entity/Q6824768,14332.166666666666
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Balbuena,https://wikidata.org/entity/Q3356881,13225.677419354839
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Balderas,https://wikidata.org/entity/Q3356947,21838.322580645163
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Boulevard Puerto Aéreo,https://wikidata.org/entity/Q2630441,34236.48387096774
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Candelaria,https://wikidata.org/entity/Q2936246,27131.58064516129
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Chapultepec,https://wikidata.org/entity/Q3357035,63594.12903225807
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Cuauhtémoc,https://wikidata.org/entity/Q3356912,19942.0
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Gómez Farías,https://wikidata.org/entity/Q3356988,44611.0
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Insurgentes,https://wikidata.org/entity/Q3301776,47574.77419354839
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Isabel la Católica,https://wikidata.org/entity/Q3356870,22657.0
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Juanacatlán,https://wikidata.org/entity/Q3356938,9124.709677419354
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Merced,https://wikidata.org/entity/Q3356980,58334.93548387097
2010,--08,Linea 1,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Moctezuma,https://wikidata.org/entity/Q3357017,24147.967741935485
